,composition,crystallinity,synthesis,spacegroup,rho (ohm.cm),S [muV/K],PF [W/mK^2],zT,kappa [W/mK],sigma [S/cm],T [K],src
571,Sr3Ti1.6Nb0.4O7,Polycrystalline,"Solid state reaction, Ar",221.0,0.001858736,-42.4,9.6719e-05,0.005849969,4.96,538.0,300.0,http://dx.doi.org/10.1063/1.3117943
572,La0.9Bi0.1NiO3,Polycrystalline,"Evaporate nitrates (1173 K, air)",167.0,0.00608691,-30.79,1.5575e-05,,,164.29,1000.0,http://dx.doi.org/10.1557/PROC-793-S3.3
573,Zn0.995Al0.005O,Polycrystalline,"Solid state reaction, air",186.0,0.009120108,-166.107,0.00030254,0.015658013,13.525,94.881,700.0,http://dx.doi.org/10.1039/A602506D
574,Zn0.9975Al0.0025O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0504715,-135.054,3.6138e-05,,,19.813,400.0,http://dx.doi.org/10.1007/s11664-009-0815-2
575,CaMn6CuO12,Polycrystalline,"Solid state reaction, air",194.0,0.101057,-19.922,3.9273e-07,,,9.8954,400.0,http://dx.doi.org/10.1063/1.1687532
576,CaMn0.82Ru0.18O3,Polycrystalline,Solid state reaction,62.0,0.00403027,-55.87,7.7458e-05,,,248.12,700.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
577,Zn4Sb3,Polycrystalline,"Solid state reaction, Ar",167.0,0.00212594,126.887,0.00075733,0.298944741,0.76,470.38,300.0,http://dx.doi.org/10.1039/c0jm02011g
578,CuRh0.9Mg0.1O2,Polycrystalline,"Solid state reaction, air",166.0,0.00392099,203.027,0.0010513,0.073515711,10.0099,255.04,700.0,http://dx.doi.org/10.1109/ICT.2006.331289
579,Fe1.96Sn0.04O3,Polycrystalline,"Solid state reaction, air",167.0,0.263429643,-335.5,4.273e-05,0.002770165,6.17,37961.0,400.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
580,La1.9Sr0.1CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),64.0,0.00280286,54.72,0.00010684,,,356.78,300.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
581,Ca3AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,1.199,165.0,2.2706e-06,0.000469788,1.45,0.83403,300.0,http://dx.doi.org/10.1039/c0ee00517g
582,Mo6Te7S,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000833,21.1078,5.3486e-05,0.011602871,4.60973,1200.5,1000.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
583,Mg1.9Ca0.1Si,Polycrystalline,"Melted, Ar",225.0,0.002141,-74.0,0.00025577,0.021767518,4.7,467.07,400.0,http://dx.doi.org/10.1016/j.jallcom.2007.09.101
584,Ca0.9Pb0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.06050229,-277.092,0.0001269,,,16.528,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
585,Ca2.85Na0.15AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0122,215.0,0.00037889,0.315744536,0.84,81.967,700.0,http://dx.doi.org/10.1039/c0ee00517g
586,La0.05Ca2.85Co3.8O8.55,Polycrystalline,"Sol-gel, air",12.0,0.02510973,88.58,3.1249e-05,,,39.825,700.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
587,Ba8Ga16Ge30,Single crystal,"Czochralski method, argon",223.0,0.001996,-200.0,0.002004,1.401404207,1.43,501.0,1000.0,http://dx.doi.org/10.1063/1.2163979
588,CaYb0.05Mn0.95O3,Polycrystalline,Solid state reaction,62.0,0.0106095,-124.72,0.00014661,0.039848239,1.47173,94.255,400.0,http://dx.doi.org/10.1109/ICT.2006.331291
589,Mg2Si0.993Bi0.007,Polycrystalline,"Mechanochemical, Ar",225.0,0.000569,-125.0,0.002746,0.436870906,4.4,1757.5,700.0,http://dx.doi.org/10.1039/C1JM10827A
590,Mo6Te7S,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000817,13.9768,2.3911e-05,0.004207081,3.97842,1224.0,700.0,http://dx.doi.org/10.1016/S0925-8388(02)01002-2
591,SrTi0.8Nb0.2O3,Polycrystalline,"Solid state reaction, Ar",140.0,0.001451379,-52.14,0.00018731,0.005392806,10.42,689.0,300.0,http://dx.doi.org/10.1063/1.3117943
592,CaMnO3,Polycrystalline,"Solid state reaction, air",62.0,0.087496719,-192.833,4.2498e-05,0.012337283,3.4447,11.429,1000.0,http://dx.doi.org/10.1006/jssc.1995.1384
593,Nd2Ru2O7,Polycrystalline,Solid state reaction,227.0,2.0,210.0,2.205e-06,,,0.5,300.0,
594,NdBiRu2O7,Polycrystalline,Solid state reaction,227.0,0.00153071,35.44,8.2074e-05,,,653.29,1000.0,http://dx.doi.org/10.1016/S0167-577X(01)00317-2
595,CuCr0.98Mg0.02O2,Polycrystalline,"Solid state reaction, air",166.0,0.232176,403.782,7.0223e-05,0.014529805,4.833,4.3071,1000.0,http://dx.doi.org/10.1109/ICT.2006.331288
596,Cu2Se,Polycrystalline,"Melted, vacuum",225.0,0.0042,201.0,0.00096193,0.735901639,0.915,238.1,700.0,http://dx.doi.org/10.1038/nmat3275
597,Zn0.98Al0.02O,Polycrystalline,"Solid state reaction, air",186.0,0.001202264,-137.914,0.001582,0.011779875,40.29,778.7,300.0,http://dx.doi.org/10.1039/A602506D
598,Fe0.978Co0.00196Si1.96Y0.12O0.18,Polycrystalline,"Arc-melted, Ar",64.0,0.0214,-68.0,2.1607e-05,0.006710396,3.22,46.729,1000.0,http://dx.doi.org/10.1016/j.jallcom.2005.04.060
599,Li0.0024Ni0.9976O,Polycrystalline,Solid state reaction,225.0,0.262887397,249.75,2.3727e-05,0.001458067,11.391,3.8039,700.0,http://dx.doi.org/10.1143/JJAP.38.L1336
600,Ba0.8Sr0.2PbO3,Polycrystalline,Solid state reaction (under oxygen),74.0,0.000476044,-30.29,0.00019271,0.023313772,3.30636,2100.6,400.0,http://dx.doi.org/10.1023/A:1018515223271
601,CeFe2.5Co1.5Sb12,Polycrystalline,"Melted, vacuum",204.0,0.0027419,104.331,0.00039699,,,364.71,300.0,http://www.jstor.org/stable/2889796
602,NbCoSn,Single crystal,Floating zone melting,216.0,0.00259029,-177.53,0.0012167,0.122572444,9.92664,386.06,1000.0,http://dx.doi.org/10.1063/1.2828713
603,Ti0.95Nb0.05NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000725805,-142.549,0.0027997,0.509801867,5.4917,1377.8,1000.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
604,La3Te3.65Sb0.35,Polycrystalline,"Solid state reaction, Ar",220.0,0.00187,-87.2,0.00040662,0.143755415,1.98,534.76,700.0,http://dx.doi.org/10.1103/PhysRevB.81.125205
605,La0.95Sr0.05CoO3,Polycrystalline,Solid state reaction,15.0,0.015958791,214.7,0.00028884,0.048140749,1.8,62.661,300.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
606,Zn0.97Al0.025Ti0.005O,Polycrystalline,"Solid state reaction, air",186.0,0.033823549,-170.775,8.6224e-05,,,29.565,700.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
607,Ca0.98Bi0.02Mn0.98Nb0.02O3,Polycrystalline,Solid state reaction,62.0,0.026637901,-205.16,0.00015802,0.091024352,1.73598,37.54,1000.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
608,Fe0.978Co0.00196Si1.96Y0.12O0.18,Polycrystalline,"Arc-melted, Ar",64.0,0.0518,-222.0,9.5143e-05,0.0225,2.96,19.305,700.0,http://dx.doi.org/10.1016/j.jallcom.2005.04.060
609,Mg2Si0.999Bi0.001,Polycrystalline,"Mechanochemical, Ar",225.0,0.001446,-151.0,0.0015768,0.055522276,8.52,691.56,300.0,http://dx.doi.org/10.1039/C1JM10827A
610,Na0.02Pb0.98Te0.85Se0.15,Polycrystalline,Melted,225.0,0.00205455,204.0,0.0020256,1.703161584,1.18929,486.72,1000.0,http://dx.doi.org/10.1038/nature09996
611,SrMn0.96Mo0.04O3,Polycrystalline,"Solid state reaction, air",194.0,0.0154019,-110.28,7.8962e-05,,,64.927,300.0,http://dx.doi.org/10.1016/j.progsolidstchem.2007.01.027
612,Cr1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",2.0,0.000551923,27.071,0.00013278,0.025225214,2.1055,1811.8,400.0,http://dx.doi.org/10.1007/s11664-009-0975-0
613,Ca0.9Bi0.1Mn0.9Nb0.1O3,Polycrystalline,Solid state reaction,62.0,0.014545545,-172.3,0.0002041,0.120991889,1.6869,68.75,1000.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
614,Ca0.7Ho0.3MnO3,Polycrystalline,Solid state reaction,11.0,0.00511856,-43.69,3.7294e-05,0.00521868,2.143851851,195.37,300.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
615,SrNd0.17Ti0.83O3,Polycrystalline,"Solid state reaction, air",221.0,0.002597403,-32.5,4.0666e-05,0.00197087,6.19,385.0,300.0,http://dx.doi.org/10.1007/978-3-540-88201-5_24
616,CuRh0.9Mg0.1O2,Polycrystalline,"Solid state reaction, air",166.0,0.00248814,138.814,0.00077445,,,401.91,300.0,http://dx.doi.org/10.1109/ICT.2006.331289
617,Mg1.9Ca0.1Si,Polycrystalline,"Melted, Ar",225.0,0.002751,-130.0,0.00061432,0.113164591,3.8,363.5,700.0,http://dx.doi.org/10.1016/j.jallcom.2007.09.101
618,Ti0.95Nb0.05NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000350664,-96.2097,0.0026396,0.113786134,6.9595,2851.7,300.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
619,Zr0.99Nb0.01NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.001240347,-189.025,0.0028807,0.140320851,8.2117,806.23,400.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
620,Ca3Co4O9,Polycrystalline,"Solid state reaction, air",12.0,0.01122,121.0,0.00013049,0.02747162,1.9,89.127,400.0,http://dx.doi.org/10.1063/1.1480115
621,Bi92Sb8,Polycrystalline,"Melted, vacuum",166.0,0.000155432,-69.3,0.0030897,,,6433.7,400.0,http://dx.doi.org/10.1016/j.jpcs.2004.01.010
622,Ca0.98La0.02MnO3,Polycrystalline,Solid state reaction,62.0,0.065049112,-224.12,7.7218e-05,,,15.373,700.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
623,CaMnO3,Polycrystalline,"Solid state reaction, air",62.0,0.0285342,-357.564,0.00044807,0.008282179,16.23,35.046,300.0,http://dx.doi.org/10.1103/PhysRevB.60.14057
624,La0.99Sr0.01CoO3,Polycrystalline,Solid state reaction,15.0,0.000950605,18.56,3.6237e-05,,,1052.0,1000.0,http://dx.doi.org/10.1016/j.jssc.2008.08.078
625,CaMnO3,Polycrystalline,Solid state reaction,62.0,50.0,-462.97,4.2868e-07,,,0.02,400.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
626,CaMn6.5Cu0.5O12,Polycrystalline,"Solid state reaction, air",194.0,0.513021,32.5598,2.0665e-07,,,1.9492,300.0,http://dx.doi.org/10.1063/1.1687532
627,NdBiRu2O7,Polycrystalline,Solid state reaction,227.0,0.00134069,30.25,6.8271e-05,,,745.88,700.0,http://dx.doi.org/10.1016/S0167-577X(01)00317-2
628,Zr0.5Hf0.5NiSn1.994Sb0.006,Polycrystalline,"Arc-melted, Ar",216.0,0.0012526,-237.0,0.0044842,0.678,2.645541521,798.34,400.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
629,LiMn2O4,Polycrystalline,"Solid state reaction, air",227.0,1.16732,-30.1768,7.8011e-08,,,0.85666,700.0,http://dx.doi.org/10.1063/1.1687532
630,CaGd0.94Mn0.06O3,Polycrystalline,Co-precipitation,62.0,0.014545455,-104.27,7.4752e-05,0.00787002,2.84951,68.75,300.0,http://dx.doi.org/10.1111/j.1551-2916.2010.03673.x
631,Ca0.96La0.04MnO3,Polycrystalline,Solid state reaction,62.0,0.015255507,-123.59,0.00010012,,,65.55,300.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
632,Cu2Se,Polycrystalline,"Melted, vacuum",225.0,0.00161,107.0,0.00071112,0.273506928,1.04,621.12,400.0,http://dx.doi.org/10.1038/nmat3274
633,Mg2Si,Polycrystalline,"Melted, Ar",225.0,0.003802,-267.0,0.001875,0.403854651,3.25,263.02,700.0,http://dx.doi.org/10.1016/j.jallcom.2007.09.101
634,Ba0.6Sr0.4PbO3,Polycrystalline,Solid state reaction (under oxygen),62.0,0.00130601,-42.0,0.00013507,0.017568967,2.30636,765.69,300.0,http://dx.doi.org/10.1023/A:1018515223271
635,Si0.8Ge0.2,Nanoparticles,,227.0,0.001495,137.0,0.0012555,,,668.9,300.0,Personal communication
636,Fe1.98Sn0.02O3,Polycrystalline,"Solid state reaction, air",167.0,0.515440005,-413.39,3.3155e-05,,,19401.0,400.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
637,Ti0.99Nb0.01NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.001142318,-172.594,0.0026077,0.414473123,6.2917,875.41,1000.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
638,CaMn0.96Ru0.04O3,Polycrystalline,Solid state reaction,62.0,0.0126982,-152.89,0.00018409,0.063883122,2.88165,78.751,1000.0,http://dx.doi.org/10.1016/S0025-5408(02)00997-2
639,ZrNiSn0.98Sb0.02,Polycrystalline,"Arc melted, Ar",216.0,0.000624,-137.0,0.0030079,0.151338494,7.95,1602.6,400.0,http://dx.doi.org/10.1016/j.jallcom.2006.02.075
640,Ca0.94La0.06MnO3,Polycrystalline,Solid state reaction,62.0,0.012167108,-103.74,8.8443e-05,,,82.189,400.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
641,Zn0.97Al0.025Ti0.005O,Polycrystalline,"Solid state reaction, air",186.0,0.017394965,-217.259,0.00027135,,,57.488,1000.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
642,CeFe3CoSb12,Polycrystalline,"Melted, vacuum",204.0,0.00147222,86.5388,0.00050869,0.1113909,1.37,679.25,300.0,http://www.jstor.org/stable/2889796
643,Ca2Co2O5,Single crystal,Melted,12.0,0.00144731,173.46,0.0020788,0.559676118,2.6,690.94,700.0,http://dx.doi.org/10.1143/JJAP.39.L1127
644,Ba8Ga16Ge30,Single crystal,"Czochralski method, He",223.0,0.00123,-102.27,0.00085034,0.367429842,1.62,813.01,700.0,http://dx.doi.org/10.1103/PhysRevB.77.075203
645,NdBiRu2O7,Polycrystalline,Solid state reaction,227.0,0.00117083,21.17,3.8281e-05,,,854.09,400.0,http://dx.doi.org/10.1016/S0167-577X(01)00317-2
646,Zr0.95Nb0.05NiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.000364333,-89.0283,0.0021755,0.105970331,8.2117,2744.7,400.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
647,La1.85Sr0.15CuO4,Polycrystalline,Solid state reaction (O2 atmosphere),139.0,0.00253868,2.0,1.9065e-07,,,393.91,700.0,http://dx.doi.org/10.1103/PhysRevLett.69.2975
648,La0.05Ca2.85Co3.8O8.55,Polycrystalline,"Sol-gel, air",12.0,0.037831785,70.013,1.2957e-05,,,26.433,400.0,http://dx.doi.org/10.1016/S0038-1098(02)00555-0
649,Mg2Si,Polycrystalline,"Bridgman method, Ar-H gas",225.0,0.004125,-282.6,0.0019361,0.444343225,3.05,242.42,700.0,http://dx.doi.org/10.1016/j.jcrysgro.2006.10.270
650,CuCr0.97Mg0.03O2,Polycrystalline,"Solid state reaction, air",166.0,0.0470555,325.374,0.00022499,0.047104642,4.7763,21.252,1000.0,http://dx.doi.org/10.1109/ICT.2006.331288
651,CeFe3CoSb12,Polycrystalline,"Melted, vacuum",204.0,0.00162618,107.702,0.00071331,,,614.94,400.0,http://www.jstor.org/stable/2889796
652,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.233107,-374.8,6.0262e-05,0.019480754,2.16539,4.2899,700.0,http://dx.doi.org/10.1063/1.2362922
653,Fe1.3Mo6S8,Polycrystalline,"Solid state reaction, vacuum",148.0,0.000673077,28.1894,0.00011806,0.025493657,1.8524,1485.7,400.0,http://dx.doi.org/10.1007/s11664-009-0975-0
654,Mg2Si0.6Ge0.4Bi0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.00137,-176.2,0.0022662,0.817687862,1.94,729.93,700.0,http://dx.doi.org/10.1007/s11664-009-0735-1
655,Sr1.6La0.4Nb2O7,Single crystal,"Floating zone method, Ar",36.0,0.005,-107.0,0.00022898,0.038163333,1.8,200.0,300.0,http://dx.doi.org/10.1111/j.1551-2916.2012.05169.x
656,Ba0.3Sr0.6La0.1TiO3,Polycrystalline,"Solid state reaction , Ar",221.0,0.0004937,-82.2,0.0013686,0.10088053,4.07,2025.5,300.0,http://dx.doi.org/10.1016/j.jallcom.2003.07.016
657,CeFeCo3Sb12,Polycrystalline,"Melted, vacuum",204.0,0.0104532,-87.0125,7.2429e-05,,,95.664,300.0,http://www.jstor.org/stable/2889796
658,Ba8Ga16Ge30,Polycrystalline,"Melted, Ar",223.0,0.000669,-62.0,0.00057459,,,1494.8,300.0,http://dx.doi.org/10.1109/ICT.1999.843362
659,NbCo1.10Sn,Single crystal,Floating zone melting,216.0,0.00129687,-151.928,0.0017798,0.122115456,5.83,771.09,400.0,http://dx.doi.org/10.1063/1.2828713
660,Ca2.94Na0.06AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0138,233.0,0.0003934,0.320208123,0.86,72.464,700.0,http://dx.doi.org/10.1039/c0ee00517g
661,Zr0.25Hf0.25Ti0.5NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00188843,-333.898,0.0059037,,,529.54,700.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
662,Si0.7956Ge0.1989P0.0055,Polycrystalline,Vacuum hot pressed,227.0,0.002504,-281.446,0.0031634,0.862981105,3.66568,399.36,1000.0,http://dx.doi.org/10.1063/1.348408
663,Al0.02Zn0.98O,Polycrystalline,Solid state reaction,186.0,1.635351072,-412.05,1.0382e-05,0.0,6.46651,0.61149,,http://dx.doi.org/10.1111/j.1551-2916.2005.00131.x
664,Zr0.5Hf0.5NiSn1.998Sb0.002,Polycrystalline,"Arc-melted, Ar",216.0,0.002408,-250.0,0.0025955,0.2697,2.887113404,415.28,300.0,http://dx.doi.org/10.1016/j.jallcom.2004.05.078
665,La2CuO4,Polycrystalline,Solid state reaction,15.0,0.0725764,217.6,6.5241e-05,,,13.779,300.0,http://dx.doi.org/10.1103/PhysRevB.59.192
666,Ca0.9Y0.1MnO3,Polycrystalline,Solid state reaction,11.0,0.00477637,-81.71,0.0001398,0.03772212,1.482392228,209.36,400.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
667,Pb0.98TeNa0.02,Polycrystalline,Melting,225.0,0.002252252,236.0,0.0024729,1.20211,1.44,444.0,700.0,http://dx.doi.org/10.1038/nature11439
668,WO2.722,Polycrystalline,Spark plasma sintering,10.0,9.78533e-05,-25.21,0.00064938,0.033229299,7.817,10219.0,400.0,Personal communication
669,TiNiSn,Polycrystalline,"Arc-melted, vacuum",216.0,0.002761043,-255.058,0.0023562,0.362358717,4.5516,362.18,700.0,http://dx.doi.org/10.1016/j.jallcom.2008.02.041
670,SrMn0.98Mo0.02O3,Polycrystalline,"Solid state reaction, air",194.0,0.0260503,-73.8318,2.0925e-05,,,38.387,400.0,http://dx.doi.org/10.1016/j.progsolidstchem.2007.01.027
671,Ca2.85Na0.15AlSb3,Polycrystalline,"Solid state reaction, Ar",62.0,0.0187,152.0,0.00012355,0.039855097,1.24,53.476,400.0,http://dx.doi.org/10.1039/c0ee00517g
672,Zn0.99Al0.01O,Polycrystalline,"Solid state reaction, air",186.0,0.004570882,-167.118,0.00061101,0.074061501,8.25,186.2,1000.0,http://dx.doi.org/10.1039/A602506D
673,W0.9O2.7Co0.2O0.3,Polycrystalline,Solid state reaction,2.0,175.7080154,105.575,6.3435e-09,,,0.0056913,400.0,http://dx.doi.org/10.1007/s10854-011-0574-8
674,Zn0.97Al0.03O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.0170727,-207.5,0.00025219,,,58.573,1000.0,http://dx.doi.org/10.1007/s11664-009-0815-2
675,Ag0.15Sb0.15Te1.15Ge0.85,Single crystal,Melted,166.0,0.000694238,78.67,0.00089147,0.178443558,1.49875,1440.4,300.0,http://dx.doi.org/10.1201/9781420049718.ch22
676,Nd2Ru2O7,Polycrystalline,Ultrasonic spray pyrolysis,227.0,0.38,59.3,9.2539e-07,,,2.6316,400.0,
677,Ba8Ga16Ge30,Polycrystalline,Arc melting,223.0,0.003049,185.0,0.0011225,0.224499836,2.0,327.98,400.0,http://dx.doi.org/10.1109/ICT.2002.1190269
678,In0.15Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.0026883,-301.53,0.0033821,1.27177965,1.86154,371.98,700.0,http://dx.doi.org/10.1021/cm052055b
679,WO3,Polycrystalline,Solid state reaction,2.0,1402.658318,97.9094,6.8343e-10,,,0.00071293,300.0,http://dx.doi.org/10.1007/s10854-011-0574-8
680,Ca0.7Tb0.3MnO3,Polycrystalline,Solid state reaction,62.0,0.00558501,-68.2,8.3291e-05,0.0495538,1.680820436,179.05,1000.0,http://dx.doi.org/10.1016/0022-4596(91)90248-G
681,NaCo2O4,Single crystal,"Flux (NaCl), air",194.0,0.000295,81.9,0.0022753,0.035775294,19.08,3392.1,300.0,http://dx.doi.org/10.1143/JJAP.40.4644
682,Ca0.9Bi0.1Mn0.9Nb0.1O3,Polycrystalline,Solid state reaction,62.0,0.007633259,-80.65,8.5216e-05,,,131.01,700.0,http://dx.doi.org/10.1016/j.jallcom.2009.08.012
683,NbCoSn,Single crystal,Floating zone melting,216.0,0.00141493,-137.005,0.0013266,0.066676394,7.9584,706.75,400.0,http://dx.doi.org/10.1063/1.2828713
684,Zn0.95Al0.05O,Polycrystalline,"Solid state reaction, air",186.0,0.046832485,-112.738,2.7139e-05,,,21.353,700.0,http://dx.doi.org/10.1016/j.jeurceramsoc.2006.04.012
685,Ba0.8Sr0.2PbO3,Polycrystalline,Solid state reaction (under oxygen),74.0,0.000462332,-24.46,0.00012942,0.014141215,2.74566,2162.9,300.0,http://dx.doi.org/10.1023/A:1018515223271
686,Ba7SrAl16Si30,Polycrystalline,"Flux (Al), dynamic vacuum",223.0,0.000588239,-26.52,0.00011958,0.015529759,2.31,1700.0,300.0,http://dx.doi.org/10.1016/j.jssc.2011.02.027
687,Sr0.147Ga0.298Ge0.555,Polycrystalline,Solid state reaction,223.0,0.00262,-154.0,0.00090519,0.223320108,1.216,381.68,300.0,http://dx.doi.org/10.1063/1.121747
688,Ca0.9Sm0.1MnO3,Polycrystalline,"Solid state reaction, air",62.0,0.00788457,-146.796,0.00027331,,,126.83,700.0,http://dx.doi.org/10.1006/jssc.1995.1384
689,La1.73Sr0.27Cu0.94Ti0.06O4,Polycrystalline,Solid state reaction,139.0,0.0039,20.0,1.0256e-05,,,256.41,300.0,http://dx.doi.org/10.1016/j.ssc.2012.03.013
690,LiMn2O4,Polycrystalline,Solid state reaction (oxalates),227.0,1.69095,-100.68,5.9945e-07,,,0.59138,700.0,http://dx.doi.org/10.1039/c2jm16297k
691,Ca4.75Na0.25Al2Sb6,Polycrystalline,"Solid state reaction, Ar",55.0,0.00506,142.7,0.00040244,0.083262737,1.45,197.63,300.0,http://dx.doi.org/10.1002/adfm.201000970
692,Sr0.61Ba0.39Nb2O6,Single crystal,"Czochralski method, anneal P(O2) = 10$^{-14}$",100.0,0.00282598,-92.4,0.00030212,0.054370144,1.667,353.86,300.0,http://dx.doi.org/10.1063/1.3291563
693,Ba8Ga16Si30,Polycrystalline,"Melted, Ar",223.0,0.00133,-62.8,0.00029653,,,751.88,400.0,http://dx.doi.org/10.1109/ICT.1999.843362
694,Li0.0024Ni0.9976O,Polycrystalline,Solid state reaction,225.0,28.86769359,294.97,3.014e-07,7.4551e-06,16.1715,0.034641,400.0,http://dx.doi.org/10.1143/JJAP.38.L1336
695,BaPbO3,Polycrystalline,Solid state reaction (under oxygen),74.0,0.000433737,-26.0,0.00015585,0.012368285,3.78035,2305.5,300.0,http://dx.doi.org/10.1023/A:1018515223271
696,Fe1.98Sn0.02O3,Polycrystalline,"Solid state reaction, air",167.0,1.0,-427.64,1.8288e-05,,,10000.0,300.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
697,Ca4.75Na0.25Al2Sb6,Polycrystalline,"Solid state reaction, Ar",55.0,0.00939,207.0,0.00045633,0.649112203,0.703,106.5,1000.0,http://dx.doi.org/10.1002/adfm.201000970
698,Nd2Cu0.98Ni0.02O4,Polycrystalline,"Solid state reaction, air",139.0,0.0216164,-98.5,4.4887e-05,0.005984998,5.25,46.261,700.0,http://dx.doi.org/10.1002/chin.200318015
699,CeFe2.5Co1.5Sb12,Polycrystalline,"Melted, vacuum",204.0,0.00339272,189.903,0.001063,,,294.75,1000.0,http://www.jstor.org/stable/2889796
700,Zn0.9925Al0.0075O,Polycrystalline,"Solid state reaction, vacuum",186.0,0.00952849,-187.876,0.00037044,,,104.95,1000.0,http://dx.doi.org/10.1007/s11664-009-0815-2
701,Fe1.98Ti0.02O3,Polycrystalline,"Solid state reaction, air",2.0,0.491905692,-402.83,3.2988e-05,,,20329.0,400.0,http://dx.doi.org/10.1016/S0925-8388(01)01804-7
702,In0.1Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00433546,-309.85,0.0022144,0.889593963,1.74246,230.66,700.0,http://dx.doi.org/10.1021/cm052055b
703,Tl11.5Sb11.5Cu8Se27,Polycrystalline,"Solid state reaction, vacuum",10.0,0.21,220.0,2.3048e-05,,,4.7619,300.0,http://dx.doi.org/10.1021/cm050412c
704,CaMnO3,Polycrystalline,Solid state reaction,62.0,0.177489866,-279.83,4.4118e-05,,,5.6341,1000.0,http://www.jmst.org/EN/Y2009/V25/I04/0535
705,Mg2Si0.98Bi0.02,Polycrystalline,"Solid state reaction, He/H2",225.0,0.00125,-174.9,0.0024531,0.476989374,3.6,801.92,700.0,http://dx.doi.org/10.1007/s11664-009-0735-1
706,Zr0.25Hf0.25Ti0.5NiSn,Polycrystalline,"Arc-melted, Ar",216.0,0.00475748,-311.579,0.0020406,0.199889676,3.0626,210.2,300.0,http://dx.doi.org/10.1063/1.1868063
707,In0.15Co4Sb12,Polycrystalline,Solid state reaction,204.0,0.00212784,-266.33,0.0033336,0.668512792,1.99464,469.96,400.0,http://dx.doi.org/10.1021/cm052055b
708,Fe0.978Co0.00196Si1.96Y0.12O0.18,Polycrystalline,"Arc-melted, Ar",64.0,0.1495,-227.0,3.4468e-05,0.005222357,2.64,6.689,400.0,http://dx.doi.org/10.1016/j.jallcom.2005.04.060
709,CuCr0.97Mg0.03O2,Polycrystalline,"Solid state reaction, air",166.0,0.101735,199.047,3.8944e-05,0.001636395,7.1396,9.8295,300.0,http://dx.doi.org/10.1109/ICT.2006.331288
710,In1.985Ge0.015O3,Polycrystalline,Solid state reaction,206.0,0.00143465,-108.464,0.00082002,0.231919011,3.53581,697.03,1000.0,http://dx.doi.org/10.1016/j.ssc.2007.12.033
711,NaCo2O4,Polycrystalline,"Solid state reaction, air",194.0,0.00253,118.0,0.00055057,0.120081428,1.834,395.41,400.0,http://dx.doi.org/10.1143/JJAP.40.4644
712,WO2.9,Polycrystalline,Spark plasma sintering,10.0,0.00119115,-31.41,8.2828e-05,0.010430437,3.1764,839.52,400.0,Personal communication
713,Ba0.8Sr0.2PbO3,Polycrystalline,Solid state reaction (under oxygen),74.0,0.000601159,-33.71,0.00018904,,,1663.5,1000.0,http://dx.doi.org/10.1023/A:1018515223271
